alert_id,timestamp,latitude,longitude,alert_type,severity
0,2025-01-31 02:31:00,41.54081183557079,-87.39082959692142,Accident,Low
1,2025-01-14 04:41:00,42.05408619191242,-87.37893603968267,Accident,Medium
2,2025-01-17 10:58:00,41.56583756172194,-87.70262145854275,Kidnapping,Critical
3,2025-02-08 13:29:00,41.60690922488834,-87.5875447021264,MissingPerson,High
4,2025-01-29 11:41:00,41.862809893327174,-87.21231796518579,Kidnapping,Critical
5,2025-02-28 07:37:00,41.82346460986648,-88.10584856232849,Kidnapping,Medium
6,2025-02-09 14:27:00,41.52190804180402,-87.69921033521997,Accident,Critical
7,2025-01-08 03:32:00,42.01573765366375,-87.70362337533881,Fire,Critical
8,2025-02-18 20:49:00,41.752757515050526,-87.14062360241066,MissingPerson,High
9,2025-02-09 05:12:00,41.86962404909463,-87.30574911066924,Kidnapping,High
10,2025-02-13 19:28:00,41.598108254746165,-87.2207671470781,Fire,Low
11,2025-01-25 14:06:00,41.7753265528163,-88.0245684687185,Fire,High
12,2025-01-06 07:08:00,42.032957358361344,-88.10355366108223,Kidnapping,Low
13,2025-02-09 04:01:00,41.91873245354142,-87.6509231443436,Accident,Medium
14,2025-03-01 19:21:00,42.2411823031814,-87.75371971551186,Accident,Low
15,2025-02-05 18:13:00,41.99287984259696,-87.73775108396917,MissingPerson,Low
16,2025-01-01 09:14:00,42.302600593020664,-87.73048081384432,Kidnapping,Medium
17,2025-01-03 22:20:00,42.160905753136035,-87.18388930317586,MissingPerson,Low
18,2025-01-05 22:49:00,42.13868082572525,-87.78661704706579,Accident,Medium
19,2025-02-14 21:26:00,41.922432496356365,-87.97594014450506,Kidnapping,High
20,2025-02-12 06:03:00,41.69286913457479,-87.74479031381128,MissingPerson,Medium
21,2025-02-18 15:07:00,41.75078418738982,-88.18672308094914,Accident,Medium
22,2025-02-16 17:20:00,42.30825378718291,-87.72793941620327,Kidnapping,Low
23,2025-01-22 23:34:00,41.54568765373116,-87.65164384070049,Fire,Medium
24,2025-01-08 06:48:00,41.710619068887915,-87.07361129917497,Fire,Critical
25,2025-02-13 16:41:00,41.865665297698996,-87.75554433801729,Fire,Low
26,2025-02-14 14:01:00,41.96266855956424,-87.57285594548948,MissingPerson,Low
27,2025-01-13 19:02:00,41.65635158460065,-87.6843819537437,Fire,Critical
28,2025-01-17 13:19:00,41.75807244432322,-88.00011253906881,Accident,High
29,2025-01-22 18:51:00,41.78433993278685,-87.76298710222869,Fire,Critical
30,2025-02-25 16:19:00,41.893636772661054,-87.30577526951268,Accident,High
31,2025-02-12 14:12:00,41.73473883568153,-87.27801997165724,MissingPerson,Low
32,2025-02-18 03:10:00,41.98197244766963,-88.06161557729787,Fire,High
33,2025-02-20 19:35:00,41.78868303825892,-87.81808398422086,Accident,Medium
34,2025-01-26 07:43:00,41.718313741352056,-87.38336068288082,MissingPerson,High
35,2025-02-21 04:37:00,41.74232882735348,-88.05684633735292,Kidnapping,Critical
36,2025-01-20 09:25:00,41.58381625011688,-87.77028239186399,MissingPerson,Low
37,2025-02-15 09:20:00,41.709343200588755,-88.09997421730553,Accident,High
38,2025-01-22 06:33:00,41.63922373860656,-87.20791774639453,Accident,Low
39,2025-02-13 18:05:00,42.09924370134423,-87.3187691936061,Accident,Medium
40,2025-02-05 07:38:00,42.26864508946328,-87.90333576511155,Fire,Critical
41,2025-01-07 09:10:00,41.779842827950674,-87.85917533533848,Kidnapping,Critical
42,2025-01-07 20:47:00,42.12812152783949,-87.5264430915926,Kidnapping,Low
43,2025-02-26 03:37:00,41.92573615622353,-88.17537788164077,Fire,Critical
44,2025-02-17 13:43:00,41.95496539395877,-87.11805782510298,MissingPerson,High
45,2025-01-03 03:50:00,41.70160557460045,-87.70257375623586,Fire,Critical
46,2025-03-01 17:42:00,41.64932247559076,-87.73495951471087,MissingPerson,Low
47,2025-02-23 20:11:00,41.58362895189422,-87.38488616092887,Kidnapping,Critical
48,2025-01-30 22:33:00,41.667676598569585,-87.63539990544187,Accident,Critical
49,2025-01-27 20:39:00,42.167611566615854,-87.41722532799754,Accident,Medium
50,2025-01-04 22:03:00,42.00978789777711,-88.11934453587591,MissingPerson,Critical
51,2025-01-12 14:50:00,41.506036851869574,-87.29249115469133,Fire,Medium
52,2025-02-02 18:30:00,41.48905783134374,-87.51995351745262,Accident,High
53,2025-02-26 02:57:00,42.13532748469188,-87.97957413852767,Kidnapping,Medium
54,2025-02-06 19:40:00,41.96231553069111,-87.19257632715727,MissingPerson,High
55,2025-01-04 23:31:00,41.48807862729711,-87.84945055299546,Kidnapping,High
56,2025-02-24 14:50:00,41.5113735200451,-87.42754760728116,Fire,Low
57,2025-02-12 05:00:00,41.88140220128832,-87.43286462431814,MissingPerson,High
58,2025-01-11 09:35:00,42.03246458475537,-87.7019173447106,Kidnapping,Low
59,2025-01-04 15:13:00,42.117654461555134,-87.67339931776282,MissingPerson,Medium
60,2025-01-16 00:29:00,41.737005596958916,-87.44487376271046,Fire,Low
61,2025-02-24 23:47:00,42.1789092868398,-87.84916733672932,Fire,Medium
62,2025-01-26 04:13:00,42.205235868956514,-87.89185045498517,Kidnapping,Critical
63,2025-02-22 11:37:00,41.45509681865436,-87.70968086877748,Fire,Medium
64,2025-02-02 13:51:00,41.70248342835624,-87.2604173680475,MissingPerson,Critical
65,2025-02-01 15:13:00,41.787908756456844,-87.7705125326704,Fire,High
66,2025-01-05 01:34:00,42.097934427899304,-87.82081960384761,Fire,High
67,2025-02-11 03:59:00,42.169621000169336,-87.16717051623053,MissingPerson,Critical
68,2025-02-27 02:51:00,42.01493055501286,-87.7060817008788,Accident,Low
69,2025-02-02 11:48:00,41.7876005388943,-87.20080653400142,Fire,Medium
70,2025-01-07 02:04:00,41.68503900400931,-87.44925102801814,MissingPerson,High
71,2025-01-05 07:58:00,41.48901918607948,-87.50719017656604,Accident,Critical
72,2025-02-02 17:59:00,41.55414689316965,-87.74019524651762,Kidnapping,Critical
73,2025-01-11 09:58:00,41.95867269498739,-87.72024096883176,Accident,High
74,2025-02-24 13:34:00,42.173033286049645,-87.30640641752358,MissingPerson,Low
75,2025-02-18 08:20:00,42.285164980263374,-87.41520565636654,Fire,High
76,2025-01-05 05:03:00,41.85043216530785,-87.86111705415118,Kidnapping,Medium
77,2025-01-22 03:07:00,41.85507685157556,-88.07121605255563,Kidnapping,Low
78,2025-01-07 13:27:00,41.904361535723886,-87.42728276146985,MissingPerson,Low
79,2025-01-22 02:26:00,41.54134765341628,-87.47966636107864,Fire,Critical
80,2025-02-11 17:51:00,41.83187559267609,-87.15018276242154,Accident,High
81,2025-02-25 01:25:00,41.9754062911012,-87.71097003094003,Fire,Medium
82,2025-01-24 00:46:00,41.7303286676873,-87.50568482192438,Fire,High
83,2025-01-06 03:18:00,42.13249735657327,-87.13569232171687,Accident,Critical
84,2025-02-22 20:00:00,41.72676074070399,-87.69177532567222,Fire,High
85,2025-02-10 18:54:00,41.680173243593174,-87.90359037340306,Kidnapping,Medium
86,2025-03-01 19:18:00,41.87376075920666,-87.61120378589088,Kidnapping,Medium
87,2025-01-01 08:11:00,41.97712284516014,-87.25899550354501,Kidnapping,Medium
88,2025-02-15 22:04:00,42.17228741909813,-87.68476061729802,MissingPerson,High
89,2025-01-04 01:48:00,41.859423222354486,-87.45915643760189,Kidnapping,Medium
90,2025-01-12 15:36:00,41.56042501559739,-87.60704443085443,MissingPerson,Low
91,2025-02-25 03:40:00,41.892376449949474,-88.06088290217258,Kidnapping,High
92,2025-01-04 19:20:00,41.91350486679732,-87.77585565470059,Accident,Low
93,2025-02-17 03:36:00,42.002252999785206,-87.25770904948683,MissingPerson,High
94,2025-02-04 18:44:00,41.8445180181083,-87.37260485497862,MissingPerson,Critical
95,2025-01-09 02:50:00,41.49808354779078,-87.67622224413118,Accident,Low
96,2025-01-09 20:01:00,41.53551518746509,-87.6726423061109,Fire,Low
97,2025-01-23 13:55:00,41.462043715503405,-87.55369000729097,MissingPerson,Critical
98,2025-01-08 16:21:00,41.46083326273988,-87.58508407340918,Kidnapping,Low
99,2025-02-20 18:16:00,42.30786733313756,-87.72609904972904,Kidnapping,Critical
100,2025-02-18 07:02:00,42.0027934268471,-87.61319634168372,Fire,High
101,2025-02-21 04:18:00,41.66333638609332,-87.61787795250297,Fire,High
102,2025-02-23 01:15:00,41.6330365357414,-87.95558974546995,Kidnapping,High
103,2025-02-27 23:04:00,41.77525950795078,-87.4609004910984,MissingPerson,High
104,2025-01-07 18:22:00,41.66051255286543,-88.04056169450668,Accident,Low
105,2025-02-06 10:40:00,41.69861882550295,-88.1167233319526,MissingPerson,Low
106,2025-02-01 05:59:00,42.17947092323104,-87.69834091175125,Fire,Critical
107,2025-01-05 09:37:00,41.87762239934229,-87.31893997871428,Fire,Medium
108,2025-02-08 01:19:00,42.232033926504975,-87.92921986001042,Fire,Critical
109,2025-01-26 19:10:00,41.507208805515106,-87.79718005487777,Kidnapping,High
110,2025-01-01 12:45:00,42.10674828340112,-88.08475509952343,Kidnapping,Medium
111,2025-01-15 12:09:00,41.819506379358245,-87.48083162621731,Accident,Low
112,2025-02-04 03:20:00,42.17020611836303,-87.23662073278751,MissingPerson,Low
113,2025-02-14 21:56:00,41.898382757383004,-87.57706740340959,MissingPerson,Medium
114,2025-02-17 10:20:00,41.77720374106448,-87.59921339054227,Accident,High
115,2025-01-11 11:37:00,41.72545611345306,-87.84147737108987,Accident,High
116,2025-01-29 02:18:00,42.26672152427585,-87.51894692255253,Kidnapping,Critical
117,2025-02-28 10:12:00,41.560148297744085,-87.84619966247708,Fire,Low
118,2025-02-09 00:12:00,42.17713739469179,-87.40729183435008,MissingPerson,High
119,2025-01-19 01:44:00,41.797279188736184,-87.58831806944444,Accident,High
120,2025-02-17 10:50:00,41.75098244751617,-87.60117303184478,Kidnapping,High
121,2025-02-09 08:55:00,41.98987938571935,-87.93500587727019,MissingPerson,Medium
122,2025-01-10 10:20:00,41.47109731699252,-87.45290852843665,Kidnapping,High
123,2025-01-01 23:15:00,42.263782466912076,-87.46935682170565,Fire,Medium
124,2025-01-23 20:33:00,41.9364604119332,-87.93140469538956,Accident,Medium
125,2025-02-27 05:37:00,41.66923642854573,-87.41168423718719,Kidnapping,High
126,2025-02-06 19:53:00,41.873793256565286,-87.27481442622401,Fire,Critical
127,2025-01-03 18:30:00,42.2408998790223,-87.50066313698635,Accident,Low
128,2025-01-15 05:42:00,42.090559911384645,-87.57549952164955,Accident,High
129,2025-02-02 11:47:00,41.885647168375506,-88.17015920803513,MissingPerson,Critical
130,2025-02-22 10:50:00,41.83633619268829,-88.13264682305378,Accident,Medium
131,2025-02-04 22:08:00,41.8912798354621,-87.65615787395195,Fire,Low
132,2025-02-22 13:39:00,42.02443881598457,-88.05366076251609,Fire,High
133,2025-01-31 11:04:00,41.72357515913599,-88.16055740316058,Fire,Critical
134,2025-01-10 23:00:00,41.99069239168026,-88.09191895115242,MissingPerson,Critical
135,2025-02-19 09:06:00,41.93122562911679,-87.94444184828174,Fire,Critical
136,2025-02-22 13:51:00,41.554862965434154,-87.94616295646456,Fire,Medium
137,2025-01-22 04:36:00,41.70150849925521,-87.39287243175252,Kidnapping,Medium
138,2025-02-18 20:33:00,42.086843307826165,-87.52347499089935,Fire,Medium
139,2025-02-10 00:35:00,41.74135556840179,-88.18000073939879,Kidnapping,Critical
140,2025-02-09 08:50:00,42.00551028668885,-88.08619663560428,Kidnapping,Medium
141,2025-02-19 04:24:00,41.80992423362194,-88.1134147929285,Fire,Low
142,2025-02-02 02:01:00,41.574762985535045,-87.892280238379,Kidnapping,Low
143,2025-01-03 05:53:00,41.99620631512172,-87.07853135484973,Accident,Low
144,2025-01-28 04:40:00,41.84434296594263,-88.03141553804113,Kidnapping,Low
145,2025-02-25 12:13:00,41.92540103604227,-87.19077994716862,Accident,Medium
146,2025-01-12 02:21:00,42.103203965526035,-87.34460315777277,MissingPerson,Medium
147,2025-02-11 05:13:00,42.2777021149045,-87.90160870164146,Kidnapping,Low
